-0.0529267 0.983123 2 3.01688 4.05293 
-0.0530408 0.983068 2 3.01693 4.05304 
-0.0531547 0.983012 2 3.01699 4.05315 
-0.0532685 0.982957 2 3.01704 4.05327 
-0.0533821 0.982902 2 3.0171 4.05338 
-0.0534956 0.982846 2 3.01715 4.0535 
-0.0536089 0.982791 2 3.01721 4.05361 
-0.0537221 0.982736 2 3.01726 4.05372 
-0.0538352 0.982681 2 3.01732 4.05384 
-0.0539481 0.982626 2 3.01737 4.05395 
-0.0540608 0.98257 2 3.01743 4.05406 
-0.0541734 0.982515 2 3.01748 4.05417 
-0.0542859 0.98246 2 3.01754 4.05429 
-0.0543982 0.982406 2 3.01759 4.0544 
-0.0545104 0.982351 2 3.01765 4.05451 
-0.0546224 0.982296 2 3.0177 4.05462 
-0.0547343 0.982241 2 3.01776 4.05473 
-0.0548461 0.982186 2 3.01781 4.05485 
-0.0549577 0.982131 2 3.01787 4.05496 
-0.0550692 0.982077 2 3.01792 4.05507 
-0.0551805 0.982022 2 3.01798 4.05518 
-0.0552917 0.981968 2 3.01803 4.05529 
-0.0554027 0.981913 2 3.01809 4.0554 
-0.0555136 0.981859 2 3.01814 4.05551 
-0.0556244 0.981804 2 3.0182 4.05562 
-0.055735 0.98175 2 3.01825 4.05574 
-0.0558455 0.981695 2 3.0183 4.05585 
-0.0559559 0.981641 2 3.01836 4.05596 
-0.0560661 0.981587 2 3.01841 4.05607 
-0.0561762 0.981532 2 3.01847 4.05618 
-0.0562861 0.981478 2 3.01852 4.05629 
-0.0563959 0.981424 2 3.01858 4.0564 
-0.0565056 0.98137 2 3.01863 4.05651 
-0.0566151 0.981316 2 3.01868 4.05662 
-0.0567245 0.981262 2 3.01874 4.05672 
-0.0568338 0.981208 2 3.01879 4.05683 
-0.0569429 0.981154 2 3.01885 4.05694 
-0.0570519 0.9811 2 3.0189 4.05705 
-0.0571607 0.981046 2 3.01895 4.05716 
-0.0572695 0.980993 2 3.01901 4.05727 
-0.057378 0.980939 2 3.01906 4.05738 
-0.0574865 0.980885 2 3.01911 4.05749 
-0.0575948 0.980832 2 3.01917 4.05759 
-0.057703 0.980778 2 3.01922 4.0577 
-0.057811 0.980724 2 3.01928 4.05781 
-0.057919 0.980671 2 3.01933 4.05792 
-0.0580268 0.980617 2 3.01938 4.05803 
-0.0581344 0.980564 2 3.01944 4.05813 
-0.0582419 0.980511 2 3.01949 4.05824 
-0.0583493 0.980457 2 3.01954 4.05835 
-0.0584566 0.980404 2 3.0196 4.05846 
-0.0585637 0.980351 2 3.01965 4.05856 
-0.0586708 0.980298 2 3.0197 4.05867 
-0.0587776 0.980244 2 3.01976 4.05878 
-0.0588844 0.980191 2 3.01981 4.05888 
-0.058991 0.980138 2 3.01986 4.05899 
-0.0590975 0.980085 2 3.01991 4.0591 
-0.0592038 0.980032 2 3.01997 4.0592 
-0.0593101 0.979979 2 3.02002 4.05931 
-0.0594162 0.979926 2 3.02007 4.05942 
-0.0595222 0.979874 2 3.02013 4.05952 
-0.059628 0.979821 2 3.02018 4.05963 
-0.0597337 0.979768 2 3.02023 4.05973 
-0.0598393 0.979715 2 3.02028 4.05984 
-0.0599448 0.979663 2 3.02034 4.05994 
-0.0600501 0.97961 2 3.02039 4.06005 
-0.0601554 0.979558 2 3.02044 4.06016 
-0.0602605 0.979505 2 3.02049 4.06026 
-0.0603654 0.979453 2 3.02055 4.06037 
-0.0604703 0.9794 2 3.0206 4.06047 
-0.060575 0.979348 2 3.02065 4.06057 
-0.0606796 0.979296 2 3.0207 4.06068 
-0.0607841 0.979243 2 3.02076 4.06078 
-0.0608884 0.979191 2 3.02081 4.06089 
-0.0609926 0.979139 2 3.02086 4.06099 
-0.0610967 0.979087 2 3.02091 4.0611 
-0.0612007 0.979035 2 3.02097 4.0612 
-0.0613046 0.978983 2 3.02102 4.0613 
-0.0614083 0.978931 2 3.02107 4.06141 
-0.0615119 0.978879 2 3.02112 4.06151 
-0.0616154 0.978827 2 3.02117 4.06162 
-0.0617188 0.978775 2 3.02123 4.06172 
-0.0618221 0.978723 2 3.02128 4.06182 
-0.0619252 0.978671 2 3.02133 4.06193 
-0.0620282 0.97862 2 3.02138 4.06203 
-0.0621311 0.978568 2 3.02143 4.06213 
-0.0622339 0.978516 2 3.02148 4.06223 
-0.0623365 0.978465 2 3.02154 4.06234 
-0.062439 0.978413 2 3.02159 4.06244 
-0.0625414 0.978362 2 3.02164 4.06254 
-0.0626437 0.97831 2 3.02169 4.06264 
-0.0627459 0.978259 2 3.02174 4.06275 
-0.062848 0.978207 2 3.02179 4.06285 
-0.0629499 0.978156 2 3.02184 4.06295 
-0.0630517 0.978105 2 3.0219 4.06305 
-0.0631534 0.978053 2 3.02195 4.06315 
